질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
휴직 중에도 직무급을 받을 수 있나요?,,"휴직 중에는 직무급 지급이 제외됩니다. 특히, 휴직 및 정당하지 않은 사유로 직무를 수행하지 못하는 경우에는 직무급이 지급되지 않습니다.",,급여규정_0154,급여규정 별표 7 - 명예퇴직금 지급액 산정표 (제35조제2항 관련) [급여규정_0154],"1. 급여규정_0112 (급여규정)
2. 인사규정_0089 (인사규정)
3. 급여규정_0154 (급여규정)
4. 인사규정_0090 (인사규정)
5. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)
6. 인사규정_0097 (인사규정)","급여규정_0111 (chunk_no=111)
급여규정_0112 (chunk_no=112)
급여규정_0113 (chunk_no=113)
인사규정_0088 (chunk_no=88)
인사규정_0089 (chunk_no=89)
인사규정_0090 (chunk_no=90)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
인사규정_0091 (chunk_no=91)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)
인사규정_0096 (chunk_no=96)
인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)",5.278,1.793,7.072
점심시간은 몇 시부터 몇 시까지인가요?,,점심시간은 12시부터 13시까지입니다.,,복무규정_0006,복무규정 제4조 [복무규정_0006],"1. 복무규정_0006 (복무규정)
2. 여비규정_0034 (여비규정)
3. 연차_휴가에_관한_예규_0024 (연차_휴가에_관한_예규)
4. 연차_휴가에_관한_예규_0010 (연차_휴가에_관한_예규)
5. 복무규정_0013 (복무규정)
6. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","복무규정_0005 (chunk_no=5)
복무규정_0006 (chunk_no=6)
복무규정_0007 (chunk_no=7)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
연차_휴가에_관한_예규_0023 (chunk_no=23)
연차_휴가에_관한_예규_0024 (chunk_no=24)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0009 (chunk_no=9)
연차_휴가에_관한_예규_0010 (chunk_no=10)
연차_휴가에_관한_예규_0011 (chunk_no=11)
복무규정_0012 (chunk_no=12)
복무규정_0013 (chunk_no=13)
복무규정_0014 (chunk_no=14)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)",3.649,1.046,4.698
1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?,,1년 이상 근무하고 출근율이 80% 이상인 경우에는 15일의 연차휴가가 부여됩니다.,,연차_휴가에_관한_예규_0006,연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0006],"1. 연차_휴가에_관한_예규_0006 (연차_휴가에_관한_예규)
2. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0003 (연차_휴가에_관한_예규)
4. 복무규정_0031 (복무규정)
5. 복무규정_0032 (복무규정)
6. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0002 (chunk_no=2)
연차_휴가에_관한_예규_0003 (chunk_no=3)
복무규정_0030 (chunk_no=30)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)",3.64,1.028,4.669
미사용 연차휴가에 대해 수당을 지급하나요?,,미사용 연차휴가는 수당으로 지급하지 않습니다.,,복무규정_0036,복무규정 제15조 [복무규정_0036],"1. 복무규정_0036 (복무규정)
2. 연차_휴가에_관한_예규_0026 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
6. 연차_휴가에_관한_예규_0025 (연차_휴가에_관한_예규)","복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
복무규정_0037 (chunk_no=37)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0026 (chunk_no=26)
연차_휴가에_관한_예규_0027 (chunk_no=27)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
연차_휴가에_관한_예규_0024 (chunk_no=24)",3.472,0.947,4.42
1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?,,1년 미만 근무자는 1개월 개근 시 1일의 연차휴가를 부여받습니다.,,연차_휴가에_관한_예규_0005,연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0005],"1. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
2. 복무규정_0032 (복무규정)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 급여규정_0074 (급여규정)
6. 연차_휴가에_관한_예규_0007 (연차_휴가에_관한_예규)","연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)",3.738,1.142,4.882
"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?",,공간정보 보안담당관이 공석인 경우에는 차하위자가 그 직무를 대행합니다.,,공간정보보안업무예규_0009,공간정보보안업무예규 제6조 [공간정보보안업무예규_0009],"1. 공간정보보안업무예규_0009 (공간정보보안업무예규)
2. 공간정보보안업무예규_0006 (공간정보보안업무예규)
3. 공간정보보안업무예규_0007 (공간정보보안업무예규)
4. 공간정보보안업무예규_0033 (공간정보보안업무예규)
5. 공간정보보안업무예규_0053 (공간정보보안업무예규)
6. 공간정보보안업무예규_0008 (공간정보보안업무예규)","공간정보보안업무예규_0008 (chunk_no=8)
공간정보보안업무예규_0009 (chunk_no=9)
공간정보보안업무예규_0010 (chunk_no=10)
공간정보보안업무예규_0005 (chunk_no=5)
공간정보보안업무예규_0006 (chunk_no=6)
공간정보보안업무예규_0007 (chunk_no=7)
공간정보보안업무예규_0032 (chunk_no=32)
공간정보보안업무예규_0033 (chunk_no=33)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0052 (chunk_no=52)
공간정보보안업무예규_0053 (chunk_no=53)
공간정보보안업무예규_0054 (chunk_no=54)",3.54,1.018,4.559
항공사진 비공개 기준이 궁금합니다.,,항공사진 중 국가보안시설 및 군사시설이 포함된 사진은 비공개로 관리됩니다.,,공간정보보안업무예규_0040,공간정보보안업무예규 제22조 [공간정보보안업무예규_0040],"1. 공간정보보안업무예규_0040 (공간정보보안업무예규)
2. 공간정보보안업무예규_0049 (공간정보보안업무예규)
3. 공간정보보안업무예규_0041 (공간정보보안업무예규)
4. 공간정보보안업무예규_0045 (공간정보보안업무예규)
5. 공간정보보안업무예규_0065 (공간정보보안업무예규)
6. 공간정보보안업무예규_0046 (공간정보보안업무예규)","공간정보보안업무예규_0039 (chunk_no=39)
공간정보보안업무예규_0040 (chunk_no=40)
공간정보보안업무예규_0041 (chunk_no=41)
공간정보보안업무예규_0048 (chunk_no=48)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0042 (chunk_no=42)
공간정보보안업무예규_0044 (chunk_no=44)
공간정보보안업무예규_0045 (chunk_no=45)
공간정보보안업무예규_0046 (chunk_no=46)
공간정보보안업무예규_0064 (chunk_no=64)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0047 (chunk_no=47)",3.652,1.11,4.764
비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?,,"비공개 공간정보는 공개하여서는 아니 되지만, 공개할 필요성이 있는 경우에는 공개할 자료의 내용과 공개 목적, 시기 및 방법 등에 대해 주 무부장관의 승인을 받아야 합니다.",,공간정보보안업무예규_0036,공간정보보안업무예규 제19조 [공간정보보안업무예규_0036],"1. 공간정보보안업무예규_0036 (공간정보보안업무예규)
2. 공간정보보안업무예규_0068 (공간정보보안업무예규)
3. 공간정보보안업무예규_0014 (공간정보보안업무예규)
4. 공간정보보안업무예규_0066 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)
6. 공간정보보안업무예규_0071 (공간정보보안업무예규)","공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)",3.559,1.135,4.695
안전지출 장소를 변경할 수 있나요?,,"네, 상황에 따라 공간정보 보안담당관은 안전지출 장소를 변경할 수 있습니다.",,공간정보보안업무예규_0069,공간정보보안업무예규 별표 2 - 공간정보의 안전지출 및 파기계획 [공간정보보안업무예규_0069],"1. 여비규정_0026 (여비규정)
2. 복무규정_0024 (복무규정)
3. 여비규정_0027 (여비규정)
4. 여비규정_0034 (여비규정)
5. 보안업무예규_0118 (보안업무예규)
6. 공간정보보안업무예규_0068 (공간정보보안업무예규)","여비규정_0025 (chunk_no=25)
여비규정_0026 (chunk_no=26)
여비규정_0027 (chunk_no=27)
복무규정_0023 (chunk_no=23)
복무규정_0024 (chunk_no=24)
복무규정_0025 (chunk_no=25)
여비규정_0028 (chunk_no=28)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
보안업무예규_0117 (chunk_no=117)
보안업무예규_0118 (chunk_no=118)
보안업무예규_0119 (chunk_no=119)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)",3.427,1.416,4.845
"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?",,비공개 공간정보는 기간의 경과 등으로 비공개 또는 공개제한의 필요성이 없어진 경우에 공개 대상으로 재분류될 수 있습니다.,,공간정보보안업무예규_0037,공간정보보안업무예규 제20조 [공간정보보안업무예규_0037],"1. 공간정보보안업무예규_0037 (공간정보보안업무예규)
2. 공간정보보안업무예규_0036 (공간정보보안업무예규)
3. 공간정보보안업무예규_0035 (공간정보보안업무예규)
4. 공간정보보안업무예규_0014 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)
6. 공간정보보안업무예규_0068 (공간정보보안업무예규)","공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0038 (chunk_no=38)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)",3.439,1.326,4.767
