질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
휴직 중에도 직무급을 받을 수 있나요?,,"핵심: 제공된 문서에 따르면, 휴직 중에는 직무급이 지급 제외되어 직무급을 받지 못합니다.

근거 요약: 인사규정 제41조 제3항은 ""휴직기간중의 보수는 급여규정에 따른다""고 규정하고(인사규정_0097), 급여규정 별표는 ""직무급 지급 제외: 휴직 및 정당하지 않은 사유로 직무를 수행하지 못하는 경우""로 명시하여 휴직 기간에는 직무급을 지급하지 않도록 규정하고 있습니다(급여규정_0154). 또한 급여규정 별표에는 인사규정 제39조에 따른 휴직에 해당하는 경우가 별도로 언급되어 있습니다(급여규정_0155).

참고: 특정 휴직 종류(예: 출산휴가·육아휴직 등)나 예외 적용 여부는 제공된 문서만으로는 확인하기 어렵습니다.",,인사규정_0097|급여규정_0154|급여규정_0155,"급여규정 별표 7 - 명예퇴직금 지급액 산정표 (제35조제2항 관련) [급여규정_0154]
인사규정 제41조 [인사규정_0097]","1. 급여규정_0112 (급여규정)
2. 인사규정_0089 (인사규정)
3. 급여규정_0154 (급여규정)
4. 인사규정_0090 (인사규정)
5. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)
6. 인사규정_0097 (인사규정)","급여규정_0111 (chunk_no=111)
급여규정_0112 (chunk_no=112)
급여규정_0113 (chunk_no=113)
인사규정_0088 (chunk_no=88)
인사규정_0089 (chunk_no=89)
인사규정_0090 (chunk_no=90)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
인사규정_0091 (chunk_no=91)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)
인사규정_0096 (chunk_no=96)
인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)",6.11,16.312,22.423
점심시간은 몇 시부터 몇 시까지인가요?,,핵심: 점심시간은 12시부터 13시까지입니다.,,복무규정_0006,복무규정 제4조 [복무규정_0006],"1. 복무규정_0006 (복무규정)
2. 여비규정_0034 (여비규정)
3. 연차_휴가에_관한_예규_0024 (연차_휴가에_관한_예규)
4. 연차_휴가에_관한_예규_0010 (연차_휴가에_관한_예규)
5. 복무규정_0013 (복무규정)
6. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","복무규정_0005 (chunk_no=5)
복무규정_0006 (chunk_no=6)
복무규정_0007 (chunk_no=7)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
연차_휴가에_관한_예규_0023 (chunk_no=23)
연차_휴가에_관한_예규_0024 (chunk_no=24)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0009 (chunk_no=9)
연차_휴가에_관한_예규_0010 (chunk_no=10)
연차_휴가에_관한_예규_0011 (chunk_no=11)
복무규정_0012 (chunk_no=12)
복무규정_0013 (chunk_no=13)
복무규정_0014 (chunk_no=14)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)",4.411,5.044,9.456
1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?,,핵심: 1년 이상 계속 근무하고 직전 1년간 출근율이 80% 이상이면 연차휴가는 15일입니다. 근거 문서에 따르면 해당 요건을 충족한 자에게 15일의 연차(유급휴가)를 부여합니다.,,연차_휴가에_관한_예규_0006|연차_휴가에_관한_예규_0003,"연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0006]
연차_휴가에_관한_예규 제3조 [연차_휴가에_관한_예규_0003]","1. 연차_휴가에_관한_예규_0006 (연차_휴가에_관한_예규)
2. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0003 (연차_휴가에_관한_예규)
4. 복무규정_0031 (복무규정)
5. 복무규정_0032 (복무규정)
6. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0002 (chunk_no=2)
연차_휴가에_관한_예규_0003 (chunk_no=3)
복무규정_0030 (chunk_no=30)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)",4.413,8.492,12.906
미사용 연차휴가에 대해 수당을 지급하나요?,,"핵심: 원칙적으로 미사용 연차휴가는 수당으로 지급하지 않습니다. 제공된 규정에 따르면 연차를 사용하지 않은 경우 수당으로 지급하지 않으며(미저축 연차 포함), 저축된 연차휴가도 사용하지 않으면 보상하지 않는다고 규정되어 있습니다. 다만 예외로 퇴직 시에는 회계연도 기준으로 산정한 연차일수가 입사일 기준으로 산정한 연차일수보다 적을 경우 그 부족한 일수만큼 수당으로 보상합니다.",,복무규정_0036|연차_휴가에_관한_예규_0025|연차_휴가에_관한_예규_0026,"복무규정 제15조 [복무규정_0036]
연차_휴가에_관한_예규 제8조 [연차_휴가에_관한_예규_0025]","1. 복무규정_0036 (복무규정)
2. 연차_휴가에_관한_예규_0026 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
6. 연차_휴가에_관한_예규_0025 (연차_휴가에_관한_예규)","복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
복무규정_0037 (chunk_no=37)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0026 (chunk_no=26)
연차_휴가에_관한_예규_0027 (chunk_no=27)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
연차_휴가에_관한_예규_0024 (chunk_no=24)",4.342,12.039,16.385
1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?,,1년 미만 근무자는 1개월 개근 시 연차휴가 1일을 부여합니다.,,연차_휴가에_관한_예규_0005|복무규정_0032,"연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0005]
복무규정 제14조 [복무규정_0032]","1. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
2. 복무규정_0032 (복무규정)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 급여규정_0074 (급여규정)
6. 연차_휴가에_관한_예규_0007 (연차_휴가에_관한_예규)","연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)",3.911,5.199,9.113
"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?",,핵심: 공간정보 보안담당관이 공석인 경우에는 차하위자가 그 직무를 대행합니다.,,공간정보보안업무예규_0009,공간정보보안업무예규 제6조 [공간정보보안업무예규_0009],"1. 공간정보보안업무예규_0009 (공간정보보안업무예규)
2. 공간정보보안업무예규_0006 (공간정보보안업무예규)
3. 공간정보보안업무예규_0007 (공간정보보안업무예규)
4. 공간정보보안업무예규_0033 (공간정보보안업무예규)
5. 공간정보보안업무예규_0053 (공간정보보안업무예규)
6. 공간정보보안업무예규_0008 (공간정보보안업무예규)","공간정보보안업무예규_0008 (chunk_no=8)
공간정보보안업무예규_0009 (chunk_no=9)
공간정보보안업무예규_0010 (chunk_no=10)
공간정보보안업무예규_0005 (chunk_no=5)
공간정보보안업무예규_0006 (chunk_no=6)
공간정보보안업무예규_0007 (chunk_no=7)
공간정보보안업무예규_0032 (chunk_no=32)
공간정보보안업무예규_0033 (chunk_no=33)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0052 (chunk_no=52)
공간정보보안업무예규_0053 (chunk_no=53)
공간정보보안업무예규_0054 (chunk_no=54)",4.782,9.345,14.13
항공사진 비공개 기준이 궁금합니다.,,"핵심: 항공사진은 ‘일반인의 출입이 통제되는 국가보안시설 및 군사시설(휴전선 접경지역 포함)이 노출된 사진 및 영상, 3차원 입체자료’일 경우 비공개로 분류됩니다. 또한 항공사진(원판 포함) 중 국가보안시설 및 군사시설이 포함된 사진은 비공개로 관리되며, 국가보안시설 또는 군사시설이 삭제되지 않은 사진을 발견하면 보안담당관이 이를 회수하여 관계법령에 따라 처리합니다.",,공간정보보안업무예규_0065|공간정보보안업무예규_0040,"공간정보보안업무예규 제22조 [공간정보보안업무예규_0040]
공간정보보안업무예규 별표 1 - 국가공간정보 세부 분류기준 [공간정보보안업무예규_0065]","1. 공간정보보안업무예규_0040 (공간정보보안업무예규)
2. 공간정보보안업무예규_0049 (공간정보보안업무예규)
3. 공간정보보안업무예규_0041 (공간정보보안업무예규)
4. 공간정보보안업무예규_0045 (공간정보보안업무예규)
5. 공간정보보안업무예규_0065 (공간정보보안업무예규)
6. 공간정보보안업무예규_0046 (공간정보보안업무예규)","공간정보보안업무예규_0039 (chunk_no=39)
공간정보보안업무예규_0040 (chunk_no=40)
공간정보보안업무예규_0041 (chunk_no=41)
공간정보보안업무예규_0048 (chunk_no=48)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0042 (chunk_no=42)
공간정보보안업무예규_0044 (chunk_no=44)
공간정보보안업무예규_0045 (chunk_no=45)
공간정보보안업무예규_0046 (chunk_no=46)
공간정보보안업무예규_0064 (chunk_no=64)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0047 (chunk_no=47)",4.076,9.138,13.216
비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?,,"핵심 요약: 비공개 공간정보는 원칙적으로 공개할 수 없습니다. 불가피하게 공개할 필요가 있는 경우에는 주무부장관의 승인을 받아야 합니다. 또한 복제·출력 등에 대해서는 관리기관 장의 별도 허가가 필요합니다.

권고 절차(제공된 문서에 근거):
1) 원칙 준수: 비공개 공간정보는 공개 금지(제19조).
2) 공개 필요성이 불가피한 경우: 공개할 자료의 내용·공개 목적·시기·방법 등에 대해 주무부장관의 승인을 받아야 함(제19조).
3) 복제·출력 처리: 비공개 공간정보를 복제·출력하려면 관리기관 장의 허가를 받아야 하며, 복제·출력 시 경고문 표기 및 관련 대장 기록 등 절차가 규정되어 있음(제12조 제1항·제2항).
4) 공개제한(비공개와 구분되는 등급)인 경우: 공간정보 보안담당관이 요청자의 신원·소속·사용목적·활용후 관리대책 등을 확인·검토하여 제공할 수 있음(제18조).
5) 재분류 가능성: 시간이 지나 공개 필요성이 없어지면 비공개가 재분류될 수 있음(제20조).

주의 및 한계: 구체적인 승인 신청 방법(누가 신청을 개시해야 하는지), 제출서류, 양식·담당자·처리기간 등 세부 절차는 제공된 문서에 명시되어 있지 않습니다. 따라서 ""누가 어떻게, 어떤 서류로 신청하면 되는지"" 등은 제공된 문서만으로는 확인하기 어렵습니다.",,공간정보보안업무예규_0036|공간정보보안업무예규_0023|공간정보보안업무예규_0024|공간정보보안업무예규_0035|공간정보보안업무예규_0037,"공간정보보안업무예규 제18조 [공간정보보안업무예규_0035]
공간정보보안업무예규 제19조 [공간정보보안업무예규_0036]
공간정보보안업무예규 제20조 [공간정보보안업무예규_0037]
공간정보보안업무예규 제12조 [공간정보보안업무예규_0023]","1. 공간정보보안업무예규_0036 (공간정보보안업무예규)
2. 공간정보보안업무예규_0068 (공간정보보안업무예규)
3. 공간정보보안업무예규_0014 (공간정보보안업무예규)
4. 공간정보보안업무예규_0066 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)
6. 공간정보보안업무예규_0071 (공간정보보안업무예규)","공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)",3.863,20.294,24.159
안전지출 장소를 변경할 수 있나요?,,예. 제공된 규정에 따르면 상황에 따라 공간정보 보안담당관은 안전지출 장소를 변경할 수 있습니다.,,공간정보보안업무예규_0069,공간정보보안업무예규 별표 2 - 공간정보의 안전지출 및 파기계획 [공간정보보안업무예규_0069],"1. 여비규정_0026 (여비규정)
2. 복무규정_0024 (복무규정)
3. 여비규정_0027 (여비규정)
4. 여비규정_0034 (여비규정)
5. 보안업무예규_0118 (보안업무예규)
6. 공간정보보안업무예규_0068 (공간정보보안업무예규)","여비규정_0025 (chunk_no=25)
여비규정_0026 (chunk_no=26)
여비규정_0027 (chunk_no=27)
복무규정_0023 (chunk_no=23)
복무규정_0024 (chunk_no=24)
복무규정_0025 (chunk_no=25)
여비규정_0028 (chunk_no=28)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
보안업무예규_0117 (chunk_no=117)
보안업무예규_0118 (chunk_no=118)
보안업무예규_0119 (chunk_no=119)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)",3.745,12.843,16.59
"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?",,"핵심 답변: 기간 경과로 비공개의 필요성이 없어졌다면 해당 공간정보는 공개 대상으로 재분류될 수 있으나(제20조 제1항), 비공개 상태에서 바로 공개하려면 주무부장관의 승인을 받아야 합니다(제19조). 또한 ‘비밀’로 분류된 경우에는 별도의 재분류 규정에 따릅니다(제20조 제2항).

권장 절차(요약)
1) 기간 경과 등으로 비공개 필요성이 소멸했는지 검토하여 재분류(공개 대상) 여부 결정(제20조 제1항).
2) 해당 정보가 ‘비밀’로 분류된 경우에는 「보안업무규정」에 따른 재분류 절차를 준수(제20조 제2항).
3) 재분류가 완료되어 ‘공개’로 변경되면 공개 가능. 재분류 전 또는 재분류 없이 공개할 필요가 있는 경우에는 공개자료의 내용·목적·시기·방법 등을 포함하여 주무부장관의 승인을 받아야 함(제19조).

주의: 재분류의 세부 절차(누가 신청·승인하는지 등) 및 내부 처리 흐름은 제공된 문서만으로는 확인하기 어렵습니다. 필요하면 관련 부서(공간정보 보안담당관 등) 또는 내부 규정의 추가 문서를 확인하십시오.",,공간정보보안업무예규_0037|공간정보보안업무예규_0036|공간정보보안업무예규_0038|공간정보보안업무예규_0015,"공간정보보안업무예규 제19조 [공간정보보안업무예규_0036]
공간정보보안업무예규 제20조 [공간정보보안업무예규_0037]
공간정보보안업무예규 제8조 [공간정보보안업무예규_0015]","1. 공간정보보안업무예규_0037 (공간정보보안업무예규)
2. 공간정보보안업무예규_0036 (공간정보보안업무예규)
3. 공간정보보안업무예규_0035 (공간정보보안업무예규)
4. 공간정보보안업무예규_0014 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)
6. 공간정보보안업무예규_0068 (공간정보보안업무예규)","공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0038 (chunk_no=38)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)",4.126,20.655,24.783
