질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
휴직 중에도 직무급을 받을 수 있나요?,,"휴직 중에는 직무급이 지급되지 않습니다. 급여규정에 따르면, 직무급 지급 제외 사유 중 하나로 휴직이 포함되어 있습니다.",,급여규정_0154,급여규정 별표 7 - 명예퇴직금 지급액 산정표 (제35조제2항 관련) [급여규정_0154],"1. 급여규정_0112 (급여규정)
2. 인사규정_0089 (인사규정)
3. 급여규정_0154 (급여규정)
4. 인사규정_0090 (인사규정)
5. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","급여규정_0111 (chunk_no=111)
급여규정_0112 (chunk_no=112)
급여규정_0113 (chunk_no=113)
인사규정_0088 (chunk_no=88)
인사규정_0089 (chunk_no=89)
인사규정_0090 (chunk_no=90)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
인사규정_0091 (chunk_no=91)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)",5.919,3.819,9.739
점심시간은 몇 시부터 몇 시까지인가요?,,점심시간은 12시부터 13시까지입니다.,,복무규정_0006,복무규정 제4조 [복무규정_0006],"1. 복무규정_0006 (복무규정)
2. 여비규정_0034 (여비규정)
3. 연차_휴가에_관한_예규_0024 (연차_휴가에_관한_예규)
4. 연차_휴가에_관한_예규_0010 (연차_휴가에_관한_예규)
5. 복무규정_0013 (복무규정)","복무규정_0005 (chunk_no=5)
복무규정_0006 (chunk_no=6)
복무규정_0007 (chunk_no=7)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
연차_휴가에_관한_예규_0023 (chunk_no=23)
연차_휴가에_관한_예규_0024 (chunk_no=24)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0009 (chunk_no=9)
연차_휴가에_관한_예규_0010 (chunk_no=10)
연차_휴가에_관한_예규_0011 (chunk_no=11)
복무규정_0012 (chunk_no=12)
복무규정_0013 (chunk_no=13)
복무규정_0014 (chunk_no=14)",4.665,1.357,6.024
1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?,,"1년 이상 근무하고 출근율이 80% 이상인 경우, 연차휴가는 15일입니다.",,연차_휴가에_관한_예규_0006,연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0006],"1. 연차_휴가에_관한_예규_0006 (연차_휴가에_관한_예규)
2. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0003 (연차_휴가에_관한_예규)
4. 복무규정_0031 (복무규정)
5. 복무규정_0032 (복무규정)","연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0002 (chunk_no=2)
연차_휴가에_관한_예규_0003 (chunk_no=3)
복무규정_0030 (chunk_no=30)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)",4.592,1.042,5.635
미사용 연차휴가에 대해 수당을 지급하나요?,,미사용 연차휴가는 수당으로 지급하지 않습니다.,,복무규정_0036,복무규정 제15조 [복무규정_0036],"1. 복무규정_0036 (복무규정)
2. 연차_휴가에_관한_예규_0026 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)","복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
복무규정_0037 (chunk_no=37)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0026 (chunk_no=26)
연차_휴가에_관한_예규_0027 (chunk_no=27)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)",3.451,0.818,4.27
1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?,,1년 미만 근무자는 1개월 개근 시 1일의 연차휴가를 부여받습니다.,,연차_휴가에_관한_예규_0005|복무규정_0032,"연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0005]
복무규정 제14조 [복무규정_0032]","1. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
2. 복무규정_0032 (복무규정)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 급여규정_0074 (급여규정)","연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)",4.488,1.346,5.836
"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?",,공간정보 보안담당관이 공석인 경우에는 차하위자가 그 직무를 대행합니다.,,공간정보보안업무예규_0009,공간정보보안업무예규 제6조 [공간정보보안업무예규_0009],"1. 공간정보보안업무예규_0009 (공간정보보안업무예규)
2. 공간정보보안업무예규_0006 (공간정보보안업무예규)
3. 공간정보보안업무예규_0007 (공간정보보안업무예규)
4. 공간정보보안업무예규_0033 (공간정보보안업무예규)
5. 공간정보보안업무예규_0053 (공간정보보안업무예규)","공간정보보안업무예규_0008 (chunk_no=8)
공간정보보안업무예규_0009 (chunk_no=9)
공간정보보안업무예규_0010 (chunk_no=10)
공간정보보안업무예규_0005 (chunk_no=5)
공간정보보안업무예규_0006 (chunk_no=6)
공간정보보안업무예규_0007 (chunk_no=7)
공간정보보안업무예규_0032 (chunk_no=32)
공간정보보안업무예규_0033 (chunk_no=33)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0052 (chunk_no=52)
공간정보보안업무예규_0053 (chunk_no=53)
공간정보보안업무예규_0054 (chunk_no=54)",4.091,2.65,6.743
항공사진 비공개 기준이 궁금합니다.,,항공사진의 비공개 기준은 일반인의 출입이 통제되는 국가보안시설 및 군사시설이 노출된 사진 및 영상으로 정의됩니다.,,공간정보보안업무예규_0065,공간정보보안업무예규 별표 1 - 국가공간정보 세부 분류기준 [공간정보보안업무예규_0065],"1. 공간정보보안업무예규_0040 (공간정보보안업무예규)
2. 공간정보보안업무예규_0049 (공간정보보안업무예규)
3. 공간정보보안업무예규_0041 (공간정보보안업무예규)
4. 공간정보보안업무예규_0045 (공간정보보안업무예규)
5. 공간정보보안업무예규_0065 (공간정보보안업무예규)","공간정보보안업무예규_0039 (chunk_no=39)
공간정보보안업무예규_0040 (chunk_no=40)
공간정보보안업무예규_0041 (chunk_no=41)
공간정보보안업무예규_0048 (chunk_no=48)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0042 (chunk_no=42)
공간정보보안업무예규_0044 (chunk_no=44)
공간정보보안업무예규_0045 (chunk_no=45)
공간정보보안업무예규_0046 (chunk_no=46)
공간정보보안업무예규_0064 (chunk_no=64)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)",4.62,1.3,5.921
비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?,,"비공개 공간정보는 공개하여서는 아니 되지만, 공개할 필요성이 있는 경우에는 공개할 자료의 내용과 공개 목적, 시기 및 방법 등에 대해 주 무부장관의 승인을 받아야 합니다.",,공간정보보안업무예규_0036,공간정보보안업무예규 제19조 [공간정보보안업무예규_0036],"1. 공간정보보안업무예규_0036 (공간정보보안업무예규)
2. 공간정보보안업무예규_0068 (공간정보보안업무예규)
3. 공간정보보안업무예규_0014 (공간정보보안업무예규)
4. 공간정보보안업무예규_0066 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)","공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)",3.354,1.256,4.612
안전지출 장소를 변경할 수 있나요?,,제공된 문서만으로는 확인하기 어렵습니다.,,,,"1. 여비규정_0026 (여비규정)
2. 복무규정_0024 (복무규정)
3. 여비규정_0027 (여비규정)
4. 여비규정_0034 (여비규정)
5. 보안업무예규_0118 (보안업무예규)","여비규정_0025 (chunk_no=25)
여비규정_0026 (chunk_no=26)
여비규정_0027 (chunk_no=27)
복무규정_0023 (chunk_no=23)
복무규정_0024 (chunk_no=24)
복무규정_0025 (chunk_no=25)
여비규정_0028 (chunk_no=28)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
보안업무예규_0117 (chunk_no=117)
보안업무예규_0118 (chunk_no=118)
보안업무예규_0119 (chunk_no=119)",4.336,1.659,5.998
"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?",,비공개 공간정보는 기간의 경과 등으로 인해 비공개 또는 공개제한의 필요성이 없어진 경우에 공개 대상으로 재분류될 수 있습니다.,,공간정보보안업무예규_0037,공간정보보안업무예규 제20조 [공간정보보안업무예규_0037],"1. 공간정보보안업무예규_0037 (공간정보보안업무예규)
2. 공간정보보안업무예규_0036 (공간정보보안업무예규)
3. 공간정보보안업무예규_0035 (공간정보보안업무예규)
4. 공간정보보안업무예규_0014 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)","공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0038 (chunk_no=38)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)",4.721,1.217,5.941
